# Mass =     1.593820
# [Fe/H]_init  =     0.133103
# ranom =     0.000000
# age         Radius        logL          logg          Teff          [Fe/H]_surf   Radius_0      Teff_0        logg_0        Xc            
    0.06519134    1.49979806    0.77744281    4.28814745 7378.63378906    0.12997250    1.49979806 7378.63378906    4.28814745    0.69341242
    0.06629808    1.49992263    0.77753687    4.28807640 7378.73486328    0.12997250    1.49992263 7378.73486328    4.28807640    0.69316965
    0.06740484    1.50004900    0.77763093    4.28800297 7378.84033203    0.12997250    1.50004900 7378.84033203    4.28800297    0.69292653
    0.06851158    1.50017703    0.77772492    4.28792810 7378.91748047    0.12997250    1.50017703 7378.91748047    4.28792810    0.69268334
    0.06961833    1.50030684    0.77781916    4.28785229 7379.01025391    0.12997250    1.50030684 7379.01025391    4.28785229    0.69243997
    0.07072508    1.50043857    0.77791357    4.28777695 7379.08349609    0.12997250    1.50043857 7379.08349609    4.28777695    0.69219649
    0.07183182    1.50057244    0.77800852    4.28769875 7379.14404297    0.12997252    1.50057244 7379.14404297    4.28769875    0.69195253
    0.07293858    1.50070763    0.77810395    4.28762007 7379.20507812    0.12997250    1.50070763 7379.20507812    4.28762007    0.69170839
    0.07404532    1.50084460    0.77819997    4.28753996 7379.26562500    0.12997250    1.50084460 7379.26562500    4.28753996    0.69146395
    0.07515207    1.50098300    0.77829671    4.28745985 7379.32617188    0.12997250    1.50098300 7379.32617188    4.28745985    0.69121933
    0.07625881    1.50112319    0.77839404    4.28737783 7379.39111328    0.12997250    1.50112319 7379.39111328    4.28737783    0.69097459
    0.07736556    1.50126386    0.77849227    4.28729677 7379.45605469    0.12997250    1.50126386 7379.45605469    4.28729677    0.69072980
    0.07847230    1.50140631    0.77859110    4.28721476 7379.53320312    0.12997250    1.50140631 7379.53320312    4.28721476    0.69048512
    0.07957906    1.50154936    0.77868992    4.28713226 7379.60205078    0.12997250    1.50154936 7379.60205078    4.28713226    0.69024062
    0.08068579    1.50169384    0.77878833    4.28704786 7379.67871094    0.12997250    1.50169384 7379.67871094    4.28704786    0.68999666
