# [Fe/H]_init  =     0.133103
# ranom =     0.000000
# Mass         Radius         logL           logg           Teff           [Fe/H]_surf    Radius_0       Teff_0         logg_0         Age            Xc             
     0.64992672     0.57436168    -1.02480805     4.73231888  4225.18212891     0.12949954     0.57436168  4225.18212891     4.73231888     0.00100000     0.70704919
     0.65061069     0.57488108    -1.02313530     4.73199558  4227.36767578     0.12950541     0.57488108  4227.36767578     4.73199558     0.00100000     0.70702529
     0.65129459     0.57539040    -1.02147400     4.73167562  4229.47558594     0.12951507     0.57539040  4229.47558594     4.73167562     0.00100000     0.70700592
     0.65197855     0.57592118    -1.01976609     4.73132801  4231.68896484     0.12952200     0.57592118  4231.68896484     4.73132801     0.00100000     0.70698714
     0.65266246     0.57650334    -1.01795208     4.73091412  4233.98681641     0.12952274     0.57650334  4233.98681641     4.73091412     0.00100000     0.70697027
     0.65334636     0.57712674    -1.01602793     4.73042679  4236.38427734     0.12952547     0.57712674  4236.38427734     4.73042679     0.00100000     0.70695907
     0.65403032     0.57782716    -1.01395822     4.72983027  4238.88476562     0.12953614     0.57782716  4238.88476562     4.72983027     0.00100000     0.70694840
     0.65471423     0.57853484    -1.01189792     4.72921419  4241.30126953     0.12953798     0.57853484  4241.30126953     4.72921419     0.00100000     0.70694494
     0.65539819     0.57926285    -1.00984681     4.72857046  4243.59765625     0.12953921     0.57926285  4243.59765625     4.72857046     0.00100000     0.70693922
     0.65608209     0.57998806    -1.00784802     4.72792912  4245.82763672     0.12953927     0.57998806  4245.82763672     4.72792912     0.00100000     0.70693171
     0.65676600     0.58071297    -1.00588906     4.72729731  4247.98876953     0.12954280     0.58071297  4247.98876953     4.72729731     0.00100000     0.70693505
     0.65744996     0.58141834    -1.00398600     4.72668362  4249.99951172     0.12954533     0.58141834  4249.99951172     4.72668362     0.00100000     0.70692903
     0.65813386     0.58211237    -1.00214601     4.72610044  4251.95507812     0.12954818     0.58211237  4251.95507812     4.72610044     0.00100000     0.70693219
     0.65881783     0.58279216    -1.00036490     4.72553778  4253.85546875     0.12955105     0.58279216  4253.85546875     4.72553778     0.00100000     0.70693004
     0.65950173     0.58345681    -0.99860907     4.72500134  4255.71972656     0.12955019     0.58345681  4255.71972656     4.72500134     0.00100000     0.70693552
     0.66018564     0.58411163    -0.99690664     4.72447205  4257.48388672     0.12955458     0.58411163  4257.48388672     4.72447205     0.00100000     0.70693570
     0.66086960     0.58477229    -0.99519897     4.72394085  4259.26269531     0.12955314     0.58477229  4259.26269531     4.72394085     0.00100000     0.70692968
     0.66155350     0.58543164    -0.99348819     4.72341013  4261.04492188     0.12955283     0.58543164  4261.04492188     4.72341013     0.00100000     0.70692772
     0.66223747     0.58608675    -0.99180359     4.72288656  4262.76953125     0.12955527     0.58608675  4262.76953125     4.72288656     0.00100000     0.70693195
     0.66292137     0.58673841    -0.99013841     4.72236776  4264.48486328     0.12955508     0.58673841  4264.48486328     4.72236776     0.00100000     0.70693368
     0.66360527     0.58739090    -0.98847324     4.72184801  4266.21093750     0.12955341     0.58739090  4266.21093750     4.72184801     0.00100000     0.70693409
     0.66428924     0.58804673    -0.98679656     4.72132301  4267.95849609     0.12955198     0.58804673  4267.95849609     4.72132301     0.00100000     0.70693457
     0.66497314     0.58870608    -0.98510814     4.72079325  4269.71386719     0.12955150     0.58870608  4269.71386719     4.72079325     0.00100000     0.70693588
     0.66565710     0.58936816    -0.98341376     4.72026110  4271.48144531     0.12955163     0.58936816  4271.48144531     4.72026110     0.00100000     0.70693707
     0.66634101     0.59003228    -0.98171812     4.71972513  4273.23339844     0.12955198     0.59003228  4273.23339844     4.71972513     0.00100000     0.70693761
     0.66702497     0.59069866    -0.98002130     4.71918917  4274.99072266     0.12955236     0.59069866  4274.99072266     4.71918917     0.00100000     0.70693785
     0.66770887     0.59136784    -0.97832221     4.71864843  4276.74658203     0.12955260     0.59136784  4276.74658203     4.71864843     0.00100000     0.70693773
     0.66839278     0.59204030    -0.97661871     4.71810579  4278.50537109     0.12955272     0.59204030  4278.50537109     4.71810579     0.00100000     0.70693725
     0.66907674     0.59271640    -0.97490841     4.71755838  4280.27685547     0.12955265     0.59271640  4280.27685547     4.71755838     0.00100000     0.70693660
     0.66976064     0.59339660    -0.97319043     4.71700621  4282.05615234     0.12955242     0.59339660  4282.05615234     4.71700621     0.00100000     0.70693576
     0.67044461     0.59408164    -0.97146273     4.71644831  4283.84765625     0.12955196     0.59408164  4283.84765625     4.71644831     0.00100000     0.70693475
     0.67112851     0.59477121    -0.96972400     4.71588469  4285.65185547     0.12955135     0.59477121  4285.65185547     4.71588469     0.00100000     0.70693380
     0.67181242     0.59546602    -0.96797305     4.71531630  4287.47558594     0.12955080     0.59546602  4287.47558594     4.71531630     0.00100000     0.70693237
     0.67249638     0.59616536    -0.96620846     4.71473980  4289.32128906     0.12955074     0.59616536  4289.32128906     4.71473980     0.00100000     0.70693099
     0.67318028     0.59686917    -0.96442956     4.71415901  4291.18701172     0.12955144     0.59686917  4291.18701172     4.71415901     0.00100000     0.70692939
     0.67386425     0.59757751    -0.96263456     4.71357012  4293.08105469     0.12955266     0.59757751  4293.08105469     4.71357012     0.00100000     0.70692742
     0.67454815     0.59829044    -0.96082169     4.71297503  4295.00732422     0.12955388     0.59829044  4295.00732422     4.71297503     0.00100000     0.70692515
     0.67523205     0.59900910    -0.95898664     4.71237087  4296.97167969     0.12955412     0.59900910  4296.97167969     4.71237087     0.00100000     0.70692325
     0.67591602     0.59973389    -0.95712733     4.71175909  4298.97753906     0.12955302     0.59973389  4298.97753906     4.71175909     0.00100000     0.70692176
     0.67659992     0.60046476    -0.95524597     4.71114016  4301.02148438     0.12955129     0.60046476  4301.02148438     4.71114016     0.00100000     0.70692182
     0.67728388     0.60120165    -0.95334703     4.71051455  4303.08789062     0.12954997     0.60120165  4303.08789062     4.71051455     0.00100000     0.70692384
     0.67796779     0.60194343    -0.95143592     4.70988655  4305.17919922     0.12954985     0.60194343  4305.17919922     4.70988655     0.00100000     0.70692772
     0.67865169     0.60268891    -0.94951332     4.70925379  4307.29980469     0.12955056     0.60268891  4307.29980469     4.70925379     0.00100000     0.70693243
     0.67933565     0.60343611    -0.94757736     4.70861769  4309.44970703     0.12955081     0.60343611  4309.44970703     4.70861769     0.00100000     0.70693582
     0.68001956     0.60418320    -0.94562733     4.70797825  4311.62695312     0.12954988     0.60418320  4311.62695312     4.70797825     0.00100000     0.70693660
     0.68070352     0.60493165    -0.94366455     4.70733643  4313.82617188     0.12954924     0.60493165  4313.82617188     4.70733643     0.00100000     0.70693666
     0.68138742     0.60568297    -0.94169247     4.70669556  4316.03173828     0.12955067     0.60568297  4316.03173828     4.70669556     0.00100000     0.70693749
     0.68207133     0.60643637    -0.93971354     4.70605803  4318.25976562     0.12955393     0.60643637  4318.25976562     4.70605803     0.00100000     0.70693964
     0.68275529     0.60718983    -0.93773085     4.70542097  4320.50048828     0.12955715     0.60718983  4320.50048828     4.70542097     0.00100000     0.70694143
     0.68343920     0.60794002    -0.93574876     4.70478630  4322.76367188     0.12955856     0.60794002  4322.76367188     4.70478630     0.00100000     0.70694208
     0.68412316     0.60868609    -0.93377155     4.70415735  4325.04492188     0.12955855     0.60868609  4325.04492188     4.70415735     0.00100000     0.70694345
     0.68480706     0.60942674    -0.93180484     4.70353508  4327.31787109     0.12955876     0.60942674  4327.31787109     4.70353508     0.00100000     0.70694941
     0.68549097     0.61015952    -0.92985308     4.70292473  4329.58251953     0.12955992     0.61015952  4329.58251953     4.70292473     0.00100000     0.70695752
