# Age =     0.037774
# [Fe/H]_init  =     0.133103
# ranom =     0.000000
# Mass         Radius         logL           logg           Teff           [Fe/H]_surf    Radius_0       Teff_0         logg_0         Xc             
     0.63898391     0.56536371    -1.05240989     4.73861790  4191.41992188     0.12929673     0.56536371  4191.41992188     4.73861790     0.70657301
     0.63966781     0.56614846    -1.05067873     4.73787880  4192.66064453     0.12928948     0.56614846  4192.66064453     4.73787880     0.70654911
     0.64035177     0.56691152    -1.04893613     4.73718452  4194.08984375     0.12928604     0.56691152  4194.08984375     4.73718452     0.70652878
     0.64103568     0.56764555    -1.04719090     4.73653030  4195.61474609     0.12928513     0.56764555  4195.61474609     4.73653030     0.70651150
     0.64171964     0.56835729    -1.04544663     4.73590946  4197.21582031     0.12928367     0.56835729  4197.21582031     4.73590946     0.70649678
     0.64240354     0.56904882    -1.04370344     4.73532057  4198.88427734     0.12928142     0.56904882  4198.88427734     4.73532057     0.70648575
     0.64308745     0.56972134    -1.04196119     4.73475838  4200.60644531     0.12927908     0.56972134  4200.60644531     4.73475838     0.70647752
     0.64377141     0.57037139    -1.04021657     4.73422670  4202.41259766     0.12927996     0.57037139  4202.41259766     4.73422670     0.70647299
     0.64445531     0.57100821    -1.03846312     4.73372221  4204.34375000     0.12928383     0.57100821  4204.34375000     4.73372221     0.70647168
     0.64513928     0.57162821    -1.03670883     4.73324680  4206.32470703     0.12928817     0.57162821  4206.32470703     4.73324680     0.70647329
     0.64582318     0.57223374    -1.03495383     4.73279047  4208.36181641     0.12929019     0.57223374  4208.36181641     4.73279047     0.70647520
     0.64650708     0.57282162    -1.03319204     4.73236227  4210.46728516     0.12929380     0.57282162  4210.46728516     4.73236227     0.70648122
     0.64719105     0.57339412    -1.03142464     4.73195553  4212.64746094     0.12930104     0.57339412  4212.64746094     4.73195553     0.70648378
     0.64787495     0.57394993    -1.02965987     4.73156881  4214.88671875     0.12930584     0.57394993  4214.88671875     4.73156881     0.70648277
     0.64855891     0.57450354    -1.02789819     4.73118877  4217.08300781     0.12930973     0.57450354  4217.08300781     4.73118877     0.70647848
     0.64924282     0.57504869    -1.02614653     4.73082256  4219.38476562     0.12931763     0.57504869  4219.38476562     4.73082256     0.70647436
     0.64992672     0.57559276    -1.02440238     4.73046017  4221.64404297     0.12931967     0.57559276  4221.64404297     4.73046017     0.70646787
     0.65061069     0.57613653    -1.02267575     4.73009205  4223.81591797     0.12932736     0.57613653  4223.81591797     4.73009205     0.70646167
     0.65129459     0.57668847    -1.02095282     4.72972393  4225.96630859     0.12933218     0.57668847  4225.96630859     4.72972393     0.70645845
     0.65197855     0.57724315    -1.01922250     4.72933960  4228.12451172     0.12934077     0.57724315  4228.12451172     4.72933960     0.70644456
     0.65266246     0.57780248    -1.01748848     4.72894907  4230.35107422     0.12934183     0.57780248  4230.35107422     4.72894907     0.70643181
