# Age =     0.033074
# [Fe/H]_init  =     0.133103
# ranom =     0.000000
# Mass         Radius         logL           logg           Teff           [Fe/H]_surf    Radius_0       Teff_0         logg_0         Xc             
     0.66839278     0.59309971    -0.97615784     4.71655464  4275.87353516     0.12939976     0.59309971  4275.87353516     4.71655464     0.70643091
     0.66907674     0.59379512    -0.97440302     4.71598005  4277.68603516     0.12939924     0.59379512  4277.68603516     4.71598005     0.70642877
     0.66976064     0.59449208    -0.97264314     4.71540499  4279.51562500     0.12939873     0.59449208  4279.51562500     4.71540499     0.70642650
     0.67044461     0.59519094    -0.97087729     4.71482944  4281.34863281     0.12939835     0.59519094  4281.34863281     4.71482944     0.70642400
     0.67112851     0.59589154    -0.96910524     4.71425056  4283.20117188     0.12939776     0.59589154  4283.20117188     4.71425056     0.70642138
     0.67181242     0.59659362    -0.96732634     4.71367025  4285.06591797     0.12939705     0.59659362  4285.06591797     4.71367025     0.70641810
     0.67249638     0.59729737    -0.96554017     4.71308804  4286.93896484     0.12939596     0.59729737  4286.93896484     4.71308804     0.70641446
     0.67318028     0.59800214    -0.96374726     4.71250439  4288.82910156     0.12939437     0.59800214  4288.82910156     4.71250439     0.70641029
     0.67386425     0.59870827    -0.96194774     4.71192026  4290.73193359     0.12939250     0.59870827  4290.73193359     4.71192026     0.70640618
     0.67454815     0.59941560    -0.96014285     4.71133375  4292.64746094     0.12939067     0.59941560  4292.64746094     4.71133375     0.70640296
     0.67523205     0.60012531    -0.95833391     4.71074772  4294.59228516     0.12938960     0.60012531  4294.59228516     4.71074772     0.70640218
     0.67591602     0.60083699    -0.95652258     4.71016169  4296.54931641     0.12938938     0.60083699  4296.54931641     4.71016169     0.70640385
     0.67659992     0.60154819    -0.95471084     4.70957804  4298.51220703     0.12938960     0.60154819  4298.51220703     4.70957804     0.70640558
     0.67728388     0.60225600    -0.95289946     4.70899916  4300.45947266     0.12938960     0.60225600  4300.45947266     4.70899916     0.70640332
     0.67796779     0.60296011    -0.95109051     4.70842505  4302.40332031     0.12938963     0.60296011  4302.40332031     4.70842505     0.70639819
     0.67865169     0.60366261    -0.94928551     4.70785379  4304.35937500     0.12939049     0.60366261  4304.35937500     4.70785379     0.70639455
     0.67933565     0.60436416    -0.94748569     4.70728302  4306.35156250     0.12939200     0.60436416  4306.35156250     4.70728302     0.70639580
     0.68001956     0.60506004    -0.94569170     4.70671844  4308.34033203     0.12939177     0.60506004  4308.34033203     4.70671844     0.70639831
     0.68070352     0.60574746    -0.94390416     4.70616531  4310.28955078     0.12938851     0.60574746  4310.28955078     4.70616531     0.70639879
     0.68138742     0.60643125    -0.94212711     4.70562363  4312.25878906     0.12938526     0.60643125  4312.25878906     4.70562363     0.70639557
     0.68207133     0.60710979    -0.94036508     4.70509386  4314.24804688     0.12938471     0.60710979  4314.24804688     4.70509386     0.70639253
     0.68275529     0.60777229    -0.93862915     4.70457602  4316.17626953     0.12938796     0.60777229  4316.17626953     4.70457602     0.70639694
     0.68343920     0.60842317    -0.93693149     4.70407867  4318.06298828     0.12939069     0.60842317  4318.06298828     4.70407867     0.70639783
     0.68412316     0.60905844    -0.93528044     4.70361090  4319.95507812     0.12939307     0.60905844  4319.95507812     4.70361090     0.70639426
     0.68480706     0.60967225    -0.93369347     4.70316839  4321.75537109     0.12939660     0.60967225  4321.75537109     4.70316839     0.70639396
     0.68549097     0.61026615    -0.93217105     4.70275402  4323.43066406     0.12939531     0.61026615  4323.43066406     4.70275402     0.70639586
     0.68617493     0.61084360    -0.93071002     4.70236921  4324.98535156     0.12939496     0.61084360  4324.98535156     4.70236921     0.70639378
     0.68685883     0.61140621    -0.92930925     4.70200348  4326.49609375     0.12939928     0.61140621  4326.49609375     4.70200348     0.70639575
     0.68754280     0.61196005    -0.92793787     4.70164490  4327.94726562     0.12940392     0.61196005  4327.94726562     4.70164490     0.70639586
     0.68822670     0.61254996    -0.92648232     4.70123243  4329.47509766     0.12940215     0.61254996  4329.47509766     4.70123243     0.70639879
     0.68891060     0.61315173    -0.92501491     4.70080853  4331.02294922     0.12940301     0.61315173  4331.02294922     4.70080853     0.70639998
     0.68959457     0.61379194    -0.92344129     4.70034122  4332.68750000     0.12940577     0.61379194  4332.68750000     4.70034122     0.70640016
     0.69027847     0.61446720    -0.92174590     4.69981003  4334.51953125     0.12940459     0.61446720  4334.51953125     4.69981003     0.70640486
     0.69096243     0.61515886    -0.92000628     4.69925928  4336.40917969     0.12940641     0.61515886  4336.40917969     4.69925928     0.70640570
     0.69164634     0.61587179    -0.91815770     4.69868374  4338.48779297     0.12940760     0.61587179  4338.48779297     4.69868374     0.70640999
     0.69233024     0.61659437    -0.91626477     4.69809198  4340.70361328     0.12940744     0.61659437  4340.70361328     4.69809198     0.70641673
     0.69301420     0.61732298    -0.91436863     4.69749832  4342.91308594     0.12941130     0.61732298  4342.91308594     4.69749832     0.70642006
     0.69369811     0.61804682    -0.91245723     4.69691420  4345.12158203     0.12941550     0.61804682  4345.12158203     4.69691420     0.70642442
     0.69438207     0.61876142    -0.91056371     4.69633770  4347.36425781     0.12941654     0.61876142  4347.36425781     4.69633770     0.70643157
     0.69506598     0.61948228    -0.90865791     4.69575167  4349.57470703     0.12941752     0.61948228  4349.57470703     4.69575167     0.70643741
     0.69574988     0.62019795    -0.90676951     4.69518042  4351.77685547     0.12941921     0.62019795  4351.77685547     4.69518042     0.70644307
     0.69643384     0.62090236    -0.90490675     4.69462585  4353.99707031     0.12941778     0.62090236  4353.99707031     4.69462585     0.70645088
     0.69711775     0.62160039    -0.90305650     4.69407177  4356.21582031     0.12941347     0.62160039  4356.21582031     4.69407177     0.70646060
     0.69780171     0.62229967    -0.90120816     4.69351673  4358.39501953     0.12941249     0.62229967  4358.39501953     4.69351673     0.70647204
     0.69848561     0.62299752    -0.89937031     4.69296741  4360.53222656     0.12941390     0.62299752  4360.53222656     4.69296741     0.70648277
     0.69916952     0.62368846    -0.89755404     4.69243526  4362.67968750     0.12941465     0.62368846  4362.67968750     4.69243526     0.70649141
     0.69985348     0.62437445    -0.89575011     4.69191217  4364.82861328     0.12941577     0.62437445  4364.82861328     4.69191217     0.70649874
     0.70053738     0.62505740    -0.89395040     4.69138956  4366.98095703     0.12941810     0.62505740  4366.98095703     4.69138956     0.70650595
     0.70122135     0.62573677    -0.89215428     4.69087124  4369.12500000     0.12941992     0.62573677  4369.12500000     4.69087124     0.70651251
     0.70190525     0.62641263    -0.89036316     4.69035721  4371.27685547     0.12942037     0.62641263  4371.27685547     4.69035721     0.70651829
     0.70258915     0.62708431    -0.88857633     4.68984985  4373.43945312     0.12941974     0.62708431  4373.43945312     4.68984985     0.70652336
     0.70327312     0.62775129    -0.88679248     4.68934917  4375.60546875     0.12941903     0.62775129  4375.60546875     4.68934917     0.70652765
     0.70395702     0.62841302    -0.88501120     4.68885803  4377.79199219     0.12941866     0.62841302  4377.79199219     4.68885803     0.70653117
     0.70464098     0.62906903    -0.88323087     4.68837452  4380.00146484     0.12941869     0.62906903  4380.00146484     4.68837452     0.70653397
     0.70532489     0.62971944    -0.88145149     4.68790007  4382.23583984     0.12941910     0.62971944  4382.23583984     4.68790007     0.70653617
     0.70600879     0.63036424    -0.87967211     4.68743229  4384.48095703     0.12941970     0.63036424  4384.48095703     4.68743229     0.70653772
     0.70669276     0.63100350    -0.87789255     4.68697357  4386.75390625     0.12942038     0.63100350  4386.75390625     4.68697357     0.70653838
     0.70737666     0.63163775    -0.87611288     4.68652248  4389.05175781     0.12942114     0.63163775  4389.05175781     4.68652248     0.70653856
     0.70806062     0.63226807    -0.87433255     4.68607664  4391.36767578     0.12942205     0.63226807  4391.36767578     4.68607664     0.70653826
     0.70874453     0.63289535    -0.87255126     4.68563747  4393.70703125     0.12942344     0.63289535  4393.70703125     4.68563747     0.70653760
     0.70942843     0.63351935    -0.87076855     4.68520355  4396.06152344     0.12942533     0.63351935  4396.06152344     4.68520355     0.70653665
     0.71011239     0.63413966    -0.86898357     4.68477297  4398.41796875     0.12942700     0.63413966  4398.41796875     4.68477297     0.70653480
     0.71079630     0.63475472    -0.86719680     4.68434477  4400.77978516     0.12942730     0.63475472  4400.77978516     4.68434477     0.70653254
     0.71148026     0.63536566    -0.86540973     4.68392229  4403.15283203     0.12942643     0.63536566  4403.15283203     4.68392229     0.70653039
     0.71216416     0.63597441    -0.86362404     4.68350649  4405.57324219     0.12942554     0.63597441  4405.57324219     4.68350649     0.70653015
     0.71284807     0.63658148    -0.86183941     4.68309450  4408.02636719     0.12942575     0.63658148  4408.02636719     4.68309450     0.70653164
     0.71353203     0.63718593    -0.86005491     4.68268585  4410.48583984     0.12942690     0.63718593  4410.48583984     4.68268585     0.70653212
     0.71421593     0.63778675    -0.85827100     4.68228006  4412.92968750     0.12942798     0.63778675  4412.92968750     4.68228006     0.70653039
     0.71489990     0.63838750    -0.85648572     4.68187475  4415.37939453     0.12942764     0.63838750  4415.37939453     4.68187475     0.70652813
     0.71558380     0.63899058    -0.85469764     4.68147135  4417.85742188     0.12942591     0.63899058  4417.85742188     4.68147135     0.70652646
     0.71626770     0.63959509    -0.85290802     4.68106794  4420.32958984     0.12942587     0.63959509  4420.32958984     4.68106794     0.70652521
     0.71695167     0.64019948    -0.85111713     4.68066549  4422.79589844     0.12942939     0.64019948  4422.79589844     4.68066549     0.70652401
     0.71763557     0.64080137    -0.84932637     4.68026543  4425.25830078     0.12943339     0.64080137  4425.25830078     4.68026543     0.70652348
     0.71831954     0.64139837    -0.84753698     4.67986870  4427.75634766     0.12943467     0.64139837  4427.75634766     4.67986870     0.70652431
     0.71900344     0.64199102    -0.84575129     4.67947531  4430.27050781     0.12943409     0.64199102  4430.27050781     4.67947531     0.70652479
     0.71968734     0.64258331    -0.84396821     4.67908096  4432.77392578     0.12943405     0.64258331  4432.77392578     4.67908096     0.70652258
     0.72037131     0.64317703    -0.84218401     4.67868757  4435.26171875     0.12943467     0.64317703  4435.26171875     4.67868757     0.70651948
     0.72105521     0.64377266    -0.84039694     4.67829323  4437.76074219     0.12943532     0.64377266  4437.76074219     4.67829323     0.70651889
     0.72173917     0.64436948    -0.83860546     4.67789984  4440.28271484     0.12943564     0.64436948  4440.28271484     4.67789984     0.70652068
     0.72242308     0.64496654    -0.83681035     4.67750788  4442.81640625     0.12943564     0.64496654  4442.81640625     4.67750788     0.70652193
     0.72310698     0.64556271    -0.83501154     4.67711496  4445.36083984     0.12943538     0.64556271  4445.36083984     4.67711496     0.70651996
     0.72379094     0.64615768    -0.83321238     4.67672157  4447.91894531     0.12943514     0.64615768  4447.91894531     4.67672157     0.70651549
     0.72447485     0.64675182    -0.83141816     4.67633343  4450.46191406     0.12943490     0.64675182  4450.46191406     4.67633343     0.70651120
     0.72515881     0.64734542    -0.82963216     4.67594910  4453.00585938     0.12943448     0.64734542  4453.00585938     4.67594910     0.70650953
     0.72584271     0.64793855    -0.82785052     4.67556572  4455.52685547     0.12943394     0.64793855  4455.52685547     4.67556572     0.70650917
     0.72652662     0.64853084    -0.82606864     4.67518234  4458.05664062     0.12943348     0.64853084  4458.05664062     4.67518234     0.70650870
     0.72721058     0.64912188    -0.82428396     4.67479992  4460.60791016     0.12943341     0.64912188  4460.60791016     4.67479992     0.70650762
     0.72789448     0.64971191    -0.82249600     4.67441654  4463.16992188     0.12943377     0.64971191  4463.16992188     4.67441654     0.70650560
     0.72857845     0.65030193    -0.82070494     4.67403173  4465.75537109     0.12943424     0.65030193  4465.75537109     4.67403173     0.70650345
     0.72926235     0.65089285    -0.81891072     4.67364931  4468.33300781     0.12943459     0.65089285  4468.33300781     4.67364931     0.70650148
     0.72994626     0.65148515    -0.81711346     4.67326593  4470.92187500     0.12943462     0.65148515  4470.92187500     4.67326593     0.70649970
     0.73063022     0.65207815    -0.81531447     4.67288494  4473.50683594     0.12943430     0.65207815  4473.50683594     4.67288494     0.70649797
     0.73131412     0.65267056    -0.81351680     4.67250443  4476.08886719     0.12943380     0.65267056  4476.08886719     4.67250443     0.70649648
     0.73199809     0.65326166    -0.81172180     4.67212582  4478.67968750     0.12943318     0.65326166  4478.67968750     4.67212582     0.70649505
     0.73268199     0.65385085    -0.80993074     4.67174816  4481.28906250     0.12943259     0.65385085  4481.28906250     4.67174816     0.70649433
     0.73336589     0.65443939    -0.80813986     4.67137289  4483.91943359     0.12943208     0.65443939  4483.91943359     4.67137289     0.70649415
     0.73404986     0.65502775    -0.80634636     4.67099476  4486.55908203     0.12943168     0.65502775  4486.55908203     4.67099476     0.70649457
     0.73473376     0.65561622    -0.80454779     4.67061853  4489.20507812     0.12943147     0.65561622  4489.20507812     4.67061853     0.70649564
     0.73541772     0.65620494    -0.80274361     4.67024136  4491.85302734     0.12943162     0.65620494  4491.85302734     4.67024136     0.70649683
     0.73610163     0.65679395    -0.80093652     4.66986609  4494.49707031     0.12943219     0.65679395  4494.49707031     4.66986609     0.70649832
     0.73678553     0.65738320    -0.79912871     4.66949224  4497.14794922     0.12943344     0.65738320  4497.14794922     4.66949224     0.70650023
     0.73746949     0.65797299    -0.79732311     4.66911888  4499.79785156     0.12943539     0.65797299  4499.79785156     4.66911888     0.70650297
     0.73815340     0.65856379    -0.79552037     4.66874790  4502.46142578     0.12943816     0.65856379  4502.46142578     4.66874790     0.70650667
     0.73883736     0.65915477    -0.79371935     4.66837692  4505.13671875     0.12944135     0.65915477  4505.13671875     4.66837692     0.70651144
     0.73952127     0.65974385    -0.79191929     4.66800594  4507.80859375     0.12944427     0.65974385  4507.80859375     4.66800594     0.70651650
     0.74020517     0.66032839    -0.79011977     4.66763687  4510.48437500     0.12944642     0.66032839  4510.48437500     4.66763687     0.70652169
     0.74088913     0.66090763    -0.78832263     4.66726971  4513.12744141     0.12944737     0.66090763  4513.12744141     4.66726971     0.70652694
     0.74157304     0.66148329    -0.78653187     4.66690636  4515.77441406     0.12944771     0.66148329  4515.77441406     4.66690636     0.70653266
     0.74225700     0.66205806    -0.78475052     4.66654778  4518.43261719     0.12944801     0.66205806  4518.43261719     4.66654778     0.70653951
     0.74294090     0.66263348    -0.78297937     4.66619635  4521.10498047     0.12944870     0.66263348  4521.10498047     4.66619635     0.70654768
     0.74362481     0.66320813    -0.78121346     4.66584921  4523.78857422     0.12944962     0.66320813  4523.78857422     4.66584921     0.70655525
     0.74430877     0.66378033    -0.77944696     4.66550303  4526.46191406     0.12945051     0.66378033  4526.46191406     4.66550303     0.70656067
     0.74499267     0.66434854    -0.77767974     4.66515970  4529.10888672     0.12945139     0.66434854  4529.10888672     4.66515970     0.70656365
     0.74567664     0.66491055    -0.77591765     4.66482210  4531.76757812     0.12945274     0.66491055  4531.76757812     4.66482210     0.70656615
